id,name_vi,name_en,discount,carbohydrates,protein,cholesterol,sodium,fiber,description_vi,description_en,availability,rating,ingredients_vi,ingredients_en,unit_vi,unit_en,regional_vi,regional_en,isFood,isDeleted,categoryId,createdAt,updatedAt,images
1,Bánh Bèo,Banh Beo,10,18,3,10,200,1,"Bánh bèo Huế truyền thống với tôm khô, mỡ hành và bánh bột gạo mềm mịn.","Traditional Hue rice cake with dried shrimp, scallion oil and soft rice flour cake.",in stock,5.0,"['bột gạo', 'tôm khô', 'mỡ hành', 'hành phi', 'nước mắm', 'bột năng']","['rice flour', 'dried shrimp', 'scallion oil', 'fried onions', 'fish sauce', 'tapioca starch']",Đĩa,Plate,Huế,Hue,1,0,1,2024-10-06 17:25:50,,[]
2,Bánh Bột Lọc,Banh Bot Loc,0,32,6,15,250,0,"Bánh bột lọc gói lá chuối, dai mềm với nhân tôm thịt đặc trưng.","Ban Bot Loc wrapped in banana leaves, chewy and soft with shrimp and pork filling.",in stock,5.0,"['bột năng', 'tôm', 'thịt ba chỉ', 'nước mắm', 'hành lá', 'lá chuối']","['tapioca starch', 'shrimp', 'pork belly', 'fish sauce', 'green onions', 'banana leaves']",Đĩa,Plate,Huế,Hue,1,0,1,2024-10-06 17:25:50,,[]
3,Bánh Căn,Banh Can,0,40,10,20,500,2,"Bánh căn vàng giòn, ăn kèm với nước chấm đặc biệt và các loại rau sống.",Crispy Banh Can served with special dipping sauce and fresh vegetables.,in stock,5.0,"['bột gạo', 'nước chấm', 'tôm', 'trứng cút', 'rau sống', 'hành lá']","['rice flour', 'dipping sauce', 'shrimp', 'quail eggs', 'raw vegetables', 'green onions']",Đĩa,Plate,Nha Trang,Nha Trang,1,0,1,2024-10-06 17:25:50,,[]
4,Bánh Canh,Banh Canh,0,60,12,25,600,3,"Bánh canh Huế với sợi to, nước dùng ngọt thanh, ăn kèm thịt tôm.","Hue-style Banh Canh with thick noodles, sweet broth, served with shrimp and pork.",in stock,5.0,"['bột gạo', 'nước dùng', 'tôm', 'thịt heo', 'hành lá', 'rau sống']","['rice flour', 'broth', 'shrimp', 'pork', 'green onions', 'raw vegetables']",Tô,Bowl,Quảng Ngãi,Quang Ngai,1,0,2,2024-10-06 17:25:50,,[]
5,Bánh Chưng,Banh Chung,0,80,12,10,300,4,"Bánh chưng truyền thống với gạo nếp, đậu xanh, thịt heo và lá dong.","Traditional Banh Chung with sticky rice, mung beans, pork, and dong leaves.",in stock,5.0,"['gạo nếp', 'đậu xanh', 'thịt ba chỉ', 'hành khô', 'lá dong', 'muối']","['sticky rice', 'mung beans', 'pork belly', 'shallots', 'dong leaves', 'salt']",Đòn,Log,"Toàn quốc, đặc biệt trong dịp Tết Nguyên Đán","Nationwide, especially during Tet",1,0,1,2024-10-06 17:25:50,,[]
6,Bánh Cu Đơ,Banh Cu Do,0,75,6,0,250,2,"Bánh cu đơ đặc sản Hà Tĩnh, bánh kẹo giòn với nhân lạc và mật mía.","Hà Tĩnh specialty, crispy cake with peanuts and molasses filling.",in stock,5.0,"['lạc', 'mật mía', 'bánh tráng', 'đường', 'gừng']","['peanuts', 'molasses', 'rice paper', 'sugar', 'ginger']",Cái,Piece,Hà Tĩnh,Ha Tinh,1,0,1,2024-10-06 17:25:50,,[]
7,Bánh Cuốn,Banh Cuon,0,40,8,10,500,1,"Bánh cuốn mềm mịn, nhân thịt, nấm mèo, ăn kèm chả và rau sống.","Soft Banh Cuon with meat and mushroom filling, served with sausage and fresh vegetables.",in stock,5.0,"['bột gạo', 'thịt heo', 'nấm mèo', 'hành phi', 'chả lụa', 'rau sống', 'nước mắm']","['rice flour', 'pork', 'mushrooms', 'fried onions', 'Vietnamese sausage', 'raw vegetables', 'fish sauce']",Đĩa,Plate,Hà Nội,Hanoi,1,0,1,2024-10-06 17:25:50,,[]
8,Bánh Đúc,Banh Duc,0,30,4,0,400,1,"Bánh đúc nóng, mềm mịn với nước mắm chua ngọt và hành phi.","Hot, soft Banh Duc with sweet and sour fish sauce and fried onions.",in stock,5.0,"['bột gạo', 'nước mắm', 'hành phi', 'đậu xanh']","['rice flour', 'fish sauce', 'fried onions', 'mung beans']",Đĩa,Plate,Miền Bắc,Northern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
9,Bánh Đậu Xanh,Banh Dau Xanh,0,45,7,0,150,3,"Bánh đậu xanh thơm bùi, đặc sản Hải Dương, được làm từ đậu xanh nguyên chất.","Fragrant green bean cake, Hai Duong specialty, made from pure green beans.",in stock,5.0,"['đậu xanh', 'đường', 'dầu thực vật', 'bột gạo', 'hương vani']","['green beans', 'sugar', 'vegetable oil', 'rice flour', 'vanilla flavor']",Cái,Piece,Hải Dương,Hai Duong,1,0,1,2024-10-06 17:25:50,,[]
10,Bánh Giò,Banh Gio,0,40,12,20,400,2,"Bánh giò gói lá chuối, nhân thịt và nấm, ăn kèm với nước chấm.","Banh Gio wrapped in banana leaves, filled with meat and mushrooms, served with dipping sauce.",in stock,5.0,"['bột gạo', 'thịt heo', 'nấm', 'hành', 'lá chuối']","['rice flour', 'pork', 'mushrooms', 'onion', 'banana leaves']",Cái,Piece,Miền Bắc,Northern Vietnam,1,0,1,2024-10-06 17:25:50,,[]
